"source_id","title","publisher","source_class","url","accessed_date","supports","limitations"
"OSS-001","opendbc","comma.ai","primary_open_source","https://github.com/commaai/opendbc","2026-08-30","MIT-licensed DBC/parser/safety ecosystem and Tesla support materials","Repository evolves; exact files and commits must be pinned and reviewed"
"OSS-002","opendbc supported cars","comma.ai","primary_open_source_documentation","https://github.com/commaai/opendbc/blob/master/docs/CARS.md","2026-08-30","Lists Tesla Model 3 HW4 2024-25 support","Openpilot vehicle support does not establish signal availability at this project's chosen connector"
"OSS-003","opendbc Tesla Model 3 vehicle DBC","comma.ai contributors","primary_open_source_data","https://github.com/commaai/opendbc/blob/master/opendbc/dbc/tesla_model3_vehicle.dbc","2026-08-30","Candidate Tesla CAN message and signal definitions","Reverse-engineered; model generation, bus, firmware, and target-tap applicability require validation"
"OSS-004","model3dbc","Josh Wardell and contributors","primary_open_source_data","https://github.com/joshwardell/model3dbc","2026-08-30","MIT-licensed independent Model 3/Y DBC comparison set","README does not guarantee 2025 Highland coverage"
"OSS-005","can-utils","Linux-CAN contributors","primary_open_source","https://github.com/linux-can/can-utils","2026-08-30","SocketCAN capture, filtering, generation, and replay tooling","Per-file licensing includes GPL-2.0-only, BSD-3-Clause, and Linux-syscall-note; transmit tools require safeguards"
"OSS-006","cantools","cantools contributors","primary_open_source","https://github.com/cantools/cantools","2026-08-30","MIT-licensed DBC parsing, decoding, plotting, and code generation","Tool correctness does not validate source DBC correctness"
"OSS-007","SavvyCAN","Collin Kidder and contributors","primary_open_source","https://github.com/collin80/SavvyCAN","2026-08-30","MIT-licensed CAN visualization and offline reverse-engineering tooling","Includes transmit/replay functionality; should be isolated from a live vehicle during discovery"
"OSS-008","Vehicle Signal Specification","COVESA","open_standard_primary_source","https://github.com/COVESA/vehicle_signal_specification","2026-08-30","MPL-2.0 protocol-neutral vehicle signal naming and metadata","Not a Tesla transport decoder; file-level MPL obligations apply to modifications"
"OSS-009","panda","comma.ai","primary_open_source","https://github.com/commaai/panda","2026-08-30","MIT-licensed CAN/CAN-FD firmware and safety/testing patterns","Not a display bridge; board/harness fit and exact per-file terms must be reviewed"
"OSS-010","candleLight firmware","candle-usb contributors","primary_open_source","https://github.com/candle-usb/candleLight_fw","2026-08-30","gs_usb-compatible USB-CAN firmware and supported-board patterns","MIT core includes separately licensed STM32 components; board capabilities and silent mode require verification"
"OSS-011","TinyUSB","Ha Thach and contributors","primary_open_source","https://github.com/hathach/tinyusb","2026-08-30","MIT-licensed embedded USB HID, CDC, DFU, host/device stack","Does not identify or implement Tesla-native touch; product USB identifiers require proper allocation"
"OSS-012","Zephyr RTOS","Zephyr Project / Linux Foundation","primary_open_source","https://github.com/zephyrproject-rtos/zephyr","2026-08-30","Apache-2.0 RTOS with CAN, USB HID, watchdog, settings, and testing support","Component licenses vary; board timing and safety properties require project-specific verification"
"OSS-013","mgb4 Linux driver documentation","Linux kernel / Digiteq Automotive","primary_open_source_documentation","https://cdn.kernel.org/doc/html/latest/admin-guide/media/mgb4.html","2026-08-30","V4L2 capture/generation support for specified FPD-Link III and GMSL lab modules","Does not identify the Highland link; depends on specialized external hardware"
"OSS-014","AOSP FAQ","Google Android Open Source Project","official_open_source_documentation","https://source.android.com/docs/setup/about/faqs","2026-08-30","AOSP openness and predominantly Apache-2.0 licensing; compatibility context","Android contains components under other licenses"
"OSS-015","AAOS Vehicle HAL overview","Google Android Open Source Project","official_open_source_documentation","https://source.android.com/docs/automotive/vhal","2026-08-30","Property-based vehicle abstraction architecture and current AIDL direction","Designed for an Android automotive platform; does not provide Tesla transport implementation"
"OSS-016","AAOS power overview","Google Android Open Source Project","official_open_source_documentation","https://source.android.com/docs/automotive/power","2026-08-30","Vehicle-MCU/application-processor split and automotive sleep/wake design concerns","Reference architecture, not proof of target implementation details or a safety certification"
"OSS-017","Android compatibility FAQ","Google Android Open Source Project","official_open_source_documentation","https://source.android.com/docs/compatibility/compatibility-faq","2026-08-30","Google Play access is separate and not automatic for AOSP-derived devices","Licensing process and requirements can change"
