Risk ID,Hazard ID,Title,Cause,Consequence,Severity,Likelihood,Detectability,Initial Risk,Primary Controls,Verification,Residual Risk,Owner,Status
R-001,H-001,Unpowered bridge interrupts native video,"Active mux cannot pass signal while unpowered, rail collapse, or connector topology error",Center display unavailable,S4,L4,D3,Critical,"De-energized native topology; physical bypass; full unpowered-circuit SI validation","FI-001; SAFE-001; DISP-001",UNKNOWN,Hardware lead,OPEN
R-002,H-001,Supervisor or control fault holds local route,"Reset state, GPIO short/open, firmware hang, or watchdog failure",Native interface unavailable,S4,L3,D3,Critical,"Independent watchdog; native-biased truth table; route feedback; hardwired bypass","FI-002; FI-003; FI-009; FI-010; FI-011",UNKNOWN,Firmware lead,OPEN
R-003,H-002,Local view remains after leaving Park,"Stale/incorrect gear decode, delayed state, compute spoofing, or transition race",Warnings or reversing view obscured,S4,L3,D4,Critical,"Independent fresh Park gate; deny unknown/conflict; native transition bound","FI-015; FI-016; FI-017; FI-018",UNKNOWN,Safety lead,OPEN
R-004,H-003,Frozen local image appears live,"GPU or video pipeline freezes while heartbeat remains valid",User acts on stale or misleading display,S4,L3,D4,Critical,"Independent link/freshness diagnostics; local UI avoids native safety indicators; native timeout policy","FI-005; FI-006; FI-007",UNKNOWN,Software lead,OPEN
R-005,H-004,Touch reaches hidden or wrong source,"Make-before-break, stale contacts, mux mismatch, malformed report, or switch race",Unintended native control activation,S4,L3,D4,Critical,"Exclusive break-before-make routing; all-contacts-up; route feedback; bounds","FI-012; FI-013; FI-014",UNKNOWN,Touch lead,OPEN
R-006,H-005,Normal bridge transmits CAN,"Routed TX pin, transceiver mode error, compromised firmware, or debug feature",Vehicle-network interference or unintended behavior,S4,L3,D5,Critical,"No physical TX route; receive-only transceiver topology; separate lab hardware","FI-019; CAN-001",UNKNOWN,CAN hardware lead,OPEN
R-007,H-006,Passive CAN tap degrades vehicle bus,"Added termination, capacitance, long stub, short, ESD failure, or unpowered loading",Communication faults on vehicle network,S4,L3,D4,Critical,"No termination; bounded stub/loading; protection and fault containment","FI-020; CAN-002",UNKNOWN,CAN hardware lead,OPEN
R-008,H-007,Bridge drains low-voltage battery,"Failed sleep, radio wakeups, reboot loop, converter quiescent current, or backfeed",Vehicle unavailable or battery damage,S3,L4,D3,HIGH,"Power-state controller; current budget; undervoltage cutoff; wake logging; no backfeed","FI-021; FI-032; PWR-003",UNKNOWN,Power lead,OPEN
R-009,H-008,Electrical transient or short overheats hardware,"Load event, reverse polarity, inadequate fuse/protection, wiring fault, or converter failure",Fire injury or vehicle damage,S4,L3,D4,Critical,"Fused protected input; transient/reverse/overcurrent design; derating; safe enclosure","FI-021; FI-022; FI-023",UNKNOWN,Power lead,OPEN
R-010,H-008,Enclosure or compute overheats,"Solar load, blocked airflow, high workload, sensor failure, or underspecified parts",Shutdown damage or fire risk,S4,L3,D3,Critical,"Temperature sensing; local-mode cutoff; component derating; thermal testing","FI-024; PWR-002",UNKNOWN,Mechanical lead,OPEN
R-011,H-009,Signal integrity causes intermittent blackout,"Wrong impedance, mux loss, HSD cable/harness, EMI, crosstalk, or marginal equalization",Native or local display interruption,S4,L4,D3,Critical,"Exact-revision characterization; SI review/measurement; route feedback; soak and margin tests","FI-007; FI-030; FI-031; DISP-002",UNKNOWN,Video hardware lead,OPEN
